 
 ~~~~~~~~~~~~~~~~~~~ жПуМх╚ф╚╡Н ~~~~~~~~~~~~~~~~~~~~
         юОЁл/m  ╣Вг╟╦ъЁл/mm  ╣Вг╟ф╫цФ/mm  ╣Вг╟к╝ф╫/mm  ╣Вг╟╧Л╬Ю/mm  ╣╪оР╧Л  ╣ВвС╧Л╦ъ/mm  ╣Вср╧Л╦ъ/mm  ╣ВвСф╫цФ/mm  ╣Всрф╫цФ/mm   ╣В╨С╦ъЁл/mm  ╣В╨Сф╫цФ/mm  ╣В╨Ск╝ф╫/mm  ╣В╨С╧Л╬Ю/mm  иХ╪фЁ╛╦ъ/mm
      1943.484        1.318        -.133        2.679        -.200     ср          1.321       -1.358        -.061         .139        -.040        -.272           0.           0.         .000
      1944.079        1.644        -.425        2.404        -.204     ср           .697       -1.706        -.354        -.150        -.063        -.274           0.           0.         .000
      1944.673        1.784        -.508        2.300        -.228     ср           .431       -1.869        -.459        -.231        -.085        -.277           0.           0.         .000
      1945.268        1.252        -.446        2.300        -.348     ср           .940       -1.360        -.514        -.166        -.108        -.279           0.           0.         .000
      1945.862        1.015        -.287        2.524        -.524     ср          1.378       -1.146        -.529        -.006        -.131        -.281           0.           0.         .000
      1946.457         .808        -.017        2.800        -.900     ср          1.838        -.962        -.633         .267        -.153        -.284           0.           0.         .000
      1947.051         .849         .081        3.100       -1.000     ср          2.075       -1.025        -.633         .367        -.176        -.286           0.           0.         .000
      1947.646         .697        -.016        3.200        -.900     ср          2.304        -.896        -.628         .272        -.199        -.288           0.           0.         .000
      1948.240         .518        -.211        3.200        -.573     ср          2.460        -.740        -.494         .079        -.221        -.291           0.           0.         .000
      1948.835         .443        -.088        3.200        -.200     ср          2.513        -.687         .005         .205        -.244        -.293           0.           0.         .000
      1949.429         .345         .139        3.200         .000     ср          2.589        -.611         .434         .434        -.267        -.295           0.           0.         .000
      1950.024         .587         .279        3.200        -.100     ср          2.324        -.876         .477         .577        -.289        -.298           0.           0.         .000
      1950.618         .704         .456        3.100        -.130     ср          2.084       -1.016         .626         .756        -.312        -.300           0.           0.         .000
      1951.213         .722         .560        2.895        -.100     ср          1.838       -1.057         .762         .862        -.335        -.302           0.           0.         .000
      1951.807         .765         .689        2.619         .281     ср          1.496       -1.123        1.275         .994        -.358        -.305           0.           0.         .000
      1952.401         .887        1.075        2.500         .557     ср          1.233       -1.267        1.939        1.382        -.380        -.307           0.           0.         .000
      1952.996        1.004        1.620        2.500         .335     ср          1.094       -1.406        2.265        1.930        -.403        -.309           0.           0.         .000
      1953.590         .975        1.911        2.600        -.108     ср          1.199       -1.401        2.114        2.222        -.426        -.312           0.           0.         .000
      1954.185         .997        1.645        2.600        -.200     ср          1.154       -1.446        1.759        1.959        -.448        -.314           0.           0.         .000
      1954.779         .888        1.411        2.500         .419     ср          1.141       -1.359        2.146        1.727        -.471        -.316           0.           0.         .000
      1955.374        1.049        1.407        2.600        1.100     ср          1.057       -1.543        2.826        1.726        -.494        -.319           0.           0.         .000
      1955.968        1.311        1.602        2.800        1.289     ср           .972       -1.828        3.212        1.923        -.516        -.321           0.           0.         .000
      1956.563        1.683        1.775        2.900         .726     ср           .678       -2.222        2.824        2.098        -.539        -.323           0.           0.         .000
      1957.157        1.887        1.677        2.900         .238     ср           .451       -2.449        2.240        2.003        -.562        -.326           0.           0.         .000
      1957.752        2.039        1.376        2.700        -.100     ср           .076       -2.624        1.603        1.703        -.584        -.328           0.           0.         .000
      1958.346        2.048        1.276        2.586        -.214     ср          -.069       -2.655        1.392        1.606        -.607        -.330           0.           0.         .000
      1958.941        1.799        1.499        2.410        -.300     ср          -.018       -2.429        1.532        1.832        -.630        -.333           0.           0.         .000
      1959.535        1.557        1.922        2.300        -.600     ср           .091       -2.209        1.657        2.257        -.653        -.335           0.           0.         .000
      1960.130        1.291        2.055        2.100        -.941     ср           .134       -1.966        1.451        2.392        -.675        -.337           0.           0.         .000
      1960.724        1.046        1.931        1.700        -.800     ср          -.044       -1.744        1.470        2.270        -.698        -.339           0.           0.         .000
      1961.319         .771        1.850        1.308        -.608     ср          -.184       -1.492        1.584        2.191        -.721        -.342           0.           0.         .000
      1961.913         .263        1.900         .932        -.568     ср          -.074       -1.006        1.676        2.244        -.743        -.344           0.           0.         .000
      1962.508        -.125        2.024         .700        -.400     ср           .059        -.641        1.971        2.371        -.766        -.346           0.           0.         .000
      1963.102        -.457        2.079         .700        -.380     ср           .369        -.331        2.048        2.428        -.789        -.349           0.           0.         .000
      1963.697        -.510        1.996         .895        -.495     ср           .594        -.301        1.851        2.347        -.811        -.351           0.           0.         .000
      1964.291        -.469        1.652        1.171        -.671     ср           .806        -.365        1.334        2.005        -.834        -.353           0.           0.         .000
      1964.886         .352        1.349        1.447        -.753     ср           .238       -1.209         .951        1.705        -.857        -.356           0.           0.         .000
      1965.480         .981        1.115        1.622        -.622     ср          -.238       -1.860         .851        1.473        -.879        -.358           0.           0.         .000
      1966.074        1.034        1.033        1.898        -.204     ср          -.038       -1.936        1.190        1.393        -.902        -.360           0.           0.         .000
      1966.669        1.004         .860        2.000        -.100     ср           .071       -1.929        1.122        1.222        -.925        -.363           0.           0.         .000
      1967.263         .816         .451        2.100         .100     ср           .337       -1.763         .916         .816        -.947        -.365           0.           0.         .000
      1967.858         .859         .110        2.125         .200     ср           .296       -1.829         .677         .477        -.970        -.367           0.           0.         .000
      1968.452        1.094        -.296        2.300         .401     ср           .213       -2.087         .475         .073        -.993        -.370           0.           0.         .000
      1969.047        1.578        -.384        2.400         .723     ср          -.194       -2.594         .711        -.012       -1.016        -.372           0.           0.         .000
      1969.641        1.245        -.460        2.500         .500     ср           .217       -2.283         .414        -.086       -1.038        -.374           0.           0.         .000
      1970.236         .047        -.806        2.372         .172     ср          1.263       -1.108        -.257        -.429       -1.061        -.377           0.           0.         .000
      1970.830        -.505       -1.432        2.200        -.304     ср          1.622        -.578       -1.358       -1.053       -1.084        -.379           0.           0.         .000
      1971.425        -.666       -2.162        2.200        -.420     ср          1.760        -.440       -2.201       -1.781       -1.106        -.381           0.           0.         .000
      1972.019        -.342       -2.488        2.400        -.344     ср          1.613        -.787       -2.448       -2.104       -1.129        -.384           0.           0.         .000
      1972.614        -.144       -2.482        2.631        -.069     ср          1.624       -1.007       -2.164       -2.096       -1.152        -.386           0.           0.         .000
      1973.208        -.268       -2.328        2.700        -.107     ср          1.794        -.906       -2.047       -1.940       -1.174        -.388           0.           0.         .000
      1973.803        -.664       -2.294        2.700        -.500     ср          2.167        -.533       -2.403       -1.903       -1.197        -.391           0.           0.         .000
      1974.397        -.906       -2.370        2.500        -.700     ср          2.187        -.313       -2.678       -1.978       -1.220        -.393           0.           0.         .000
      1974.992        -.658       -2.393        2.400        -.466     ср          1.815        -.585       -2.463       -1.998       -1.242        -.395           0.           0.         .000
      1975.586        -.591       -1.927        2.500        -.190     ср          1.826        -.674       -1.719       -1.529       -1.265        -.398           0.           0.         .000
      1976.180        -.719       -1.221        2.600         .000     ср          2.031        -.569        -.821        -.821       -1.288        -.400           0.           0.         .000
      1976.775       -1.163        -.702        2.600        -.100     ср          2.452        -.148        -.400        -.300       -1.310        -.402           0.           0.         .000
      1977.370       -1.584        -.489        2.363        -.337     ср          2.614         .251        -.422        -.084       -1.333        -.405           0.           0.         .000
      1977.964       -1.799        -.664        2.000        -.387     ср          2.443         .443        -.645        -.258       -1.356        -.407           0.           0.         .000
      1978.558       -1.950        -.671        1.711        -.011     ср          2.283         .572        -.273        -.262       -1.379        -.409           0.           0.         .000
      1979.153       -2.172        -.532        1.600         .100     ср          2.371         .771        -.020        -.120       -1.401        -.411           0.           0.         .000
      1979.747       -2.290        -.162        1.700         .100     ср          2.566         .866         .352         .252       -1.424        -.414           0.           0.         .000
      1980.342       -2.208         .110        1.900        -.100     ср          2.662         .762         .426         .526       -1.447        -.416           0.           0.         .000
      1980.936       -1.874        -.199        2.000        -.108     ср          2.405         .405         .111         .219       -1.469        -.418           0.           0.         .000
      1981.531       -1.667        -.659        2.100         .167     ср          2.275         .175        -.071        -.238       -1.492        -.421           0.           0.         .000
      1982.125       -1.317       -1.253        2.100         .543     ср          1.903        -.197        -.287        -.830       -1.515        -.423           0.           0.         .000
      1982.720       -1.211       -1.447        2.200         .900     ср          1.873        -.327        -.122       -1.022       -1.537        -.425           0.           0.         .000
      1983.314       -1.153       -1.361        2.300        1.000     ср          1.893        -.407         .067        -.933       -1.560        -.428           0.           0.         .000
      1983.909       -1.151       -1.564        2.300         .700     ср          1.869        -.431        -.434       -1.134       -1.583        -.430           0.           0.         .000
      1984.503       -1.149       -1.747        2.200         .600     ср          1.744        -.456        -.715       -1.315       -1.605        -.432           0.           0.         .000
      1985.098       -1.086       -2.175        2.078         .578     ср          1.536        -.542       -1.162       -1.741       -1.628        -.435           0.           0.         .000
      1985.692        -.981       -2.170        1.900         .798     ср          1.231        -.669        -.935       -1.733       -1.651        -.437           0.           0.         .000
      1986.287        -.856       -1.689        1.973        1.027     ср          1.155        -.818        -.223       -1.250       -1.674        -.439           0.           0.         .000
      1986.881        -.874        -.962        2.000         .600     ср          1.177        -.823         .079        -.521       -1.696        -.442           0.           0.         .000
      1987.476       -1.011        -.309        2.000        -.100     ср          1.293        -.707         .035         .135       -1.719        -.444           0.           0.         .000
      1988.070       -1.230        -.026        2.000        -.401     ср          1.488        -.512         .020         .420       -1.742        -.446           0.           0.         .000
      1988.665       -1.483         .062        2.000        -.500     ср          1.719        -.281         .011         .511       -1.764        -.449           0.           0.         .000
      1989.259       -1.853         .040        2.152        -.248     ср          2.218         .066         .243         .491       -1.787        -.451           0.           0.         .000
      1989.853       -2.123         .117        2.428        -.128     ср          2.741         .314         .443         .571       -1.810        -.453           0.           0.         .000
      1990.448       -2.292         .065        2.703        -.303     ср          3.163         .460         .217         .521       -1.832        -.456           0.           0.         .000
      1991.042       -2.651        -.341        2.979        -.579     ср          3.775         .796        -.462         .117       -1.855        -.458           0.           0.         .000
      1991.637       -2.852        -.799        3.000        -.600     ср          3.974         .974        -.939        -.339       -1.878        -.460           0.           0.         .000
      1992.231       -2.841       -1.080        2.900        -.700     ср          3.840         .940       -1.317        -.617       -1.900        -.463           0.           0.         .000
      1992.828       -2.599       -1.158        2.800        -.500     ср          3.476         .676       -1.193        -.693       -1.923        -.465           0.           0.         .000
      1993.424       -2.056       -1.162        2.700        -.300     ср          2.810         .110        -.995        -.695       -1.946        -.467           0.           0.         .000
      1994.021       -1.412        -.921        2.638        -.563     ср          2.080        -.557       -1.014        -.451       -1.969        -.470           0.           0.         .000
