 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1874.093        1.096        -.101         .983         .100     ×ó         -1.390       -2.373        -.662        -.762        -.294         .560           0.           0.         .000
      1874.688        1.539         .176        1.000        -.158     ×ó         -1.857       -2.857        -.388        -.230        -.318         .565           0.           0.         .000
      1875.282        1.790         .175         .866        -.300     ×ó         -2.132       -2.998        -.394        -.094        -.342         .569           0.           0.         .000
      1875.876        1.567        -.063         .591        -.300     ×ó         -1.932       -2.523        -.637        -.337        -.365         .574           0.           0.         .000
      1876.471        1.147        -.298         .215        -.015     ×ó         -1.536       -1.751        -.876        -.861        -.389         .578           0.           0.         .000
      1877.065         .750        -.189        -.060         .360     ×ó         -1.163       -1.103        -.772       -1.132        -.413         .583           0.           0.         .000
      1877.660         .579         .262        -.200         .664     ×ó         -1.016        -.816        -.325        -.989        -.437         .588           0.           0.         .000
      1878.254         .334         .567        -.300         .489     ×ó          -.795        -.495        -.025        -.514        -.461         .592           0.           0.         .000
      1878.849         .667         .530        -.300         .100     ×ó         -1.152        -.852        -.067        -.167        -.485         .597           0.           0.         .000
      1879.443         .951         .203        -.500         .000     ×ó         -1.460        -.960        -.398        -.398        -.509         .601           0.           0.         .000
      1880.037         .657        -.024        -.800         .038     ×ó         -1.189        -.389        -.630        -.667        -.532         .606           0.           0.         .000
      1880.632         .714        -.211       -1.100         .213     ×ó         -1.270        -.170        -.821       -1.034        -.556         .610           0.           0.         .000
      1881.226         .904         .010       -1.200         .312     ×ó         -1.484        -.284        -.605        -.916        -.580         .615           0.           0.         .000
      1881.821         .904         .104       -1.200         .036     ×ó         -1.508        -.308        -.516        -.552        -.604         .619           0.           0.         .000
      1882.415         .915         .024       -1.239        -.339     ×ó         -1.543        -.304        -.600        -.260        -.628         .624           0.           0.         .000
      1883.010         .904        -.430       -1.515        -.615     ×ó         -1.555        -.040       -1.058        -.443        -.652         .628           0.           0.         .000
      1883.604         .805        -.772       -1.800        -.710     ×ó         -1.480         .320       -1.405        -.695        -.676         .633           0.           0.         .000
      1884.199         .569        -.856       -2.100        -.400     ×ó         -1.268         .832       -1.494       -1.094        -.699         .637           0.           0.         .000
      1884.793         .683        -.653       -2.100        -.200     ×ó         -1.406         .694       -1.294       -1.094        -.723         .642           0.           0.         .000
      1885.387         .905        -.395       -1.983        -.200     ×ó         -1.652         .331       -1.041        -.841        -.747         .646           0.           0.         .000
      1885.982         .881        -.644       -1.800        -.300     ×ó         -1.652         .148       -1.295        -.995        -.771         .651           0.           0.         .000
      1886.576        1.128       -1.011       -1.633        -.333     ×ó         -1.923        -.290       -1.667       -1.334        -.795         .655           0.           0.         .000
      1887.171        1.258       -1.439       -1.557        -.057     ×ó         -2.077        -.519       -2.099       -2.042        -.819         .660           0.           0.         .000
      1887.765        1.383       -1.461       -1.382         .200     ×ó         -2.226        -.844       -2.126       -2.325        -.843         .664           0.           0.         .000
      1888.360        1.546       -1.124       -1.106         .106     ×ó         -2.412       -1.306       -1.793       -1.900        -.866         .669           0.           0.         .000
      1888.954        1.579        -.789        -.931        -.269     ×ó         -2.470       -1.539       -1.463       -1.194        -.890         .673           0.           0.         .000
      1889.548        1.665        -.586        -.800        -.500     ×ó         -2.579       -1.779       -1.264        -.764        -.914         .678           0.           0.         .000
      1890.143        1.801        -.466        -.700        -.400     ×ó         -2.739       -2.039       -1.148        -.748        -.938         .683           0.           0.         .000
      1890.737        1.933         .096        -.700        -.204     ×ó         -2.895       -2.195        -.591        -.387        -.962         .687           0.           0.         .000
      1891.332        2.056         .760        -.700        -.100     ×ó         -3.042       -2.342         .068         .168        -.986         .692           0.           0.         .000
      1891.926        2.260        1.651        -.554        -.200     ×ó         -3.270       -2.716         .955        1.155       -1.010         .696           0.           0.         .000
      1892.521        2.317        2.440        -.500        -.322     ×ó         -3.350       -2.850        1.739        2.061       -1.033         .701           0.           0.         .000
      1893.115        2.371        2.762        -.500        -.597     ×ó         -3.428       -2.928        2.057        2.654       -1.057         .705           0.           0.         .000
      1893.709        2.139        2.735        -.573        -.300     ×ó         -3.220       -2.648        2.025        2.325       -1.081         .710           0.           0.         .000
      1894.304        1.840        2.644        -.700         .197     ×ó         -2.945       -2.245        1.930        1.733       -1.105         .714           0.           0.         .000
      1894.898        1.564        2.530        -.824         .800     ×ó         -2.693       -1.869        1.811        1.011       -1.129         .719           0.           0.         .000
      1895.493        1.426        2.324        -.900         .900     ×ó         -2.578       -1.678        1.601         .701       -1.153         .723           0.           0.         .000
      1896.087        1.343        2.091        -.800         .725     ×ó         -2.519       -1.719        1.363         .638       -1.177         .728           0.           0.         .000
